Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
6,6,2017-10-30,25-324,MIA,,MIN,L (-3),1,38:47,14,28,.500,1,8,.125,4,5,.800,1,4,5,4,3,0,5,2,33,20.5,-10
7,7,2017-11-01,25-326,MIA,,CHI,W (+6),1,32:39,5,12,.417,1,3,.333,2,2,1.000,1,6,7,7,0,0,4,2,13,9.2,-7
8,8,2017-11-03,25-328,MIA,@,DEN,L (-1),1,30:45,6,12,.500,3,7,.429,0,0,,0,3,3,3,0,0,3,2,15,8.2,-1
11,9,2017-11-08,25-333,MIA,@,PHO,W (+11),1,26:13,6,14,.429,2,4,.500,2,2,1.000,0,3,3,3,0,0,6,6,16,3.2,+12
12,10,2017-11-10,25-335,MIA,@,UTA,W (+10),1,32:24,7,20,.350,3,6,.500,4,4,1.000,0,2,2,1,0,0,4,2,21,6.3,+24
13,11,2017-11-12,25-337,MIA,@,DET,L (-9),1,31:40,7,17,.412,2,9,.222,0,0,,1,3,4,5,3,0,4,3,16,9.8,+3
14,12,2017-11-15,25-340,MIA,,WAS,L (-9),1,35:25,7,18,.389,3,8,.375,2,2,1.000,1,1,2,5,0,0,5,5,19,6.7,+5
15,13,2017-11-17,25-342,MIA,@,WAS,W (+3),1,31:36,4,13,.308,3,8,.375,2,2,1.000,1,3,4,3,1,1,2,0,13,8.9,+6
16,14,2017-11-19,25-344,MIA,,IND,L (-25),1,26:05,0,10,.000,0,3,.000,0,0,,2,0,2,1,2,0,1,1,0,-4.3,-24
17,15,2017-11-22,25-347,MIA,,BOS,W (+6),1,35:55,11,24,.458,4,10,.400,0,0,,0,2,2,6,0,0,1,3,26,16.2,+1
18,16,2017-11-24,25-349,MIA,@,MIN,W (+12),1,28:02,7,15,.467,3,8,.375,0,0,,0,1,1,4,2,0,1,2,17,12.6,+2
19,17,2017-11-26,25-351,MIA,@,CHI,W (+7),1,26:02,2,10,.200,1,6,.167,2,2,1.000,0,5,5,1,0,0,2,0,7,1.0,-2
20,18,2017-11-28,25-353,MIA,@,CLE,L (-11),1,34:03,8,19,.421,3,11,.273,2,3,.667,0,1,1,7,0,0,4,0,21,11.7,-20
21,19,2017-11-29,25-354,MIA,@,NYK,L (-29),1,29:57,3,10,.300,1,4,.250,3,6,.500,1,0,1,8,1,1,1,2,10,9.2,-16
22,20,2017-12-01,25-356,MIA,,CHO,W (+5),1,29:36,6,14,.429,4,9,.444,3,6,.500,0,1,1,4,0,0,3,3,19,9.3,0
23,21,2017-12-03,25-358,MIA,,GSW,L (-28),1,24:12,1,10,.100,0,5,.000,2,2,1.000,0,1,1,2,0,0,1,0,4,-1.9,-19
24,22,2017-12-06,25-361,MIA,@,SAS,L (-12),1,34:33,8,12,.667,4,6,.667,2,2,1.000,0,1,1,5,0,1,2,2,22,18.5,+10
25,23,2017-12-09,25-364,MIA,@,BRK,W (+12),1,24:59,1,10,.100,0,4,.000,0,0,,0,1,1,1,0,0,0,1,2,-4.0,-12
26,24,2017-12-11,26-001,MIA,@,MEM,W (+25),1,24:19,4,5,.800,0,1,.000,2,4,.500,0,2,2,4,2,1,2,3,10,10.2,-5
27,25,2017-12-13,26-003,MIA,,POR,L (-7),1,37:49,6,18,.333,2,5,.400,3,6,.500,0,2,2,3,0,0,1,3,17,6.1,-15
28,26,2017-12-15,26-005,MIA,@,CHO,W (+6),1,33:37,5,14,.357,0,5,.000,2,2,1.000,0,4,4,6,1,1,2,2,12,8.5,-4
29,27,2017-12-16,26-006,MIA,,LAC,W (+5),1,30:14,4,11,.364,2,6,.333,3,4,.750,0,6,6,3,0,1,0,0,13,11.1,+3
30,28,2017-12-18,26-008,MIA,@,ATL,L (-6),1,35:54,9,17,.529,2,5,.400,3,4,.750,0,3,3,5,1,0,4,4,23,14.1,-2
31,29,2017-12-20,26-010,MIA,@,BOS,W (+1),1,36:42,3,11,.273,0,3,.000,4,4,1.000,0,3,3,6,1,0,2,0,10,7.6,-2
32,30,2017-12-22,26-012,MIA,,DAL,W (+12),1,8:34,2,2,1.000,0,0,,0,0,,0,1,1,2,1,0,1,1,4,4.7,+9
36,1,2019-01-02,27-023,MIA,@,CLE,W (+25),0,10:42,3,9,.333,1,6,.167,0,2,.000,0,2,2,3,0,0,0,0,7,3.8,+14
39,2,2019-01-08,27-029,MIA,,DEN,L (-4),0,24:36,6,10,.600,3,7,.429,0,2,.000,0,1,1,4,1,0,0,0,15,13.7,+3
40,3,2019-01-10,27-031,MIA,,BOS,W (+16),0,20:21,3,12,.250,2,7,.286,0,0,,1,3,4,3,1,0,0,2,8,4.7,+10
41,4,2019-01-12,27-033,MIA,,MEM,W (+4),0,9:44,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3,0.2,-10
42,5,2019-01-15,27-036,MIA,@,MIL,L (-38),0,11:56,1,4,.250,0,2,.000,0,0,,0,2,2,1,0,0,3,0,2,-2.1,-10
43,6,2019-01-18,27-039,MIA,@,DET,L (-5),0,8:37,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,1,1,0,2,1.0,-5
44,7,2019-01-19,27-040,MIA,@,CHI,W (+14),0,21:49,9,13,.692,3,7,.429,0,1,.000,0,6,6,2,0,0,1,4,21,15.7,+2
45,8,2019-01-21,27-042,MIA,@,BOS,L (-8),0,25:53,8,16,.500,2,7,.286,0,0,,0,2,2,1,1,0,2,0,18,10.3,+21
46,9,2019-01-23,27-044,MIA,,LAC,L (-12),0,28:33,3,9,.333,2,6,.333,1,2,.500,0,1,1,3,0,0,1,0,9,4.9,-11
48,10,2019-01-27,27-048,MIA,@,NYK,W (+9),0,17:58,1,4,.250,1,3,.333,0,0,,0,1,1,2,0,0,1,0,3,1.3,-11
49,11,2019-01-30,27-051,MIA,,CHI,L (-16),0,18:08,3,10,.300,0,5,.000,0,0,,0,4,4,5,0,0,0,2,6,4.1,-9
50,12,2019-02-01,27-053,MIA,,OKC,L (-16),0,26:29,2,10,.200,1,5,.200,0,0,,0,4,4,2,1,0,1,1,5,1.0,-5
51,13,2019-02-02,27-054,MIA,,IND,L (-7),0,28:20,1,8,.125,1,6,.167,0,0,,0,0,0,5,3,0,1,0,3,3.3,+1
52,14,2019-02-05,27-057,MIA,@,POR,W (+10),0,18:48,3,5,.600,3,5,.600,0,0,,0,1,1,1,1,0,1,2,9,6.9,-3
53,15,2019-02-08,27-060,MIA,@,SAC,L (-6),1,31:42,4,12,.333,4,9,.444,0,0,,0,1,1,2,0,0,3,0,12,3.9,-1
54,16,2019-02-10,27-062,MIA,@,GSW,L (-2),1,41:01,9,19,.474,6,13,.462,0,0,,1,2,3,4,1,1,3,1,24,16.7,+6
55,17,2019-02-11,27-063,MIA,@,DEN,L (-16),1,30:06,4,9,.444,3,6,.500,0,2,.000,0,3,3,6,0,0,1,1,11,9.2,-14
56,18,2019-02-13,27-065,MIA,@,DAL,W (+11),1,30:47,7,13,.538,3,8,.375,3,3,1.000,0,4,4,3,1,0,1,3,20,15.8,+3
57,19,2019-02-21,27-073,MIA,@,PHI,L (-4),1,30:28,7,16,.438,2,7,.286,2,2,1.000,1,4,5,1,3,0,3,2,18,11.4,-11
58,20,2019-02-23,27-075,MIA,,DET,L (-23),1,32:41,7,14,.500,2,6,.333,1,2,.500,0,0,0,5,0,0,4,2,17,8.3,-12
59,21,2019-02-25,27-077,MIA,,PHO,L (-3),1,32:04,4,11,.364,3,7,.429,1,1,1.000,1,3,4,7,0,1,1,4,12,10.5,-5
60,22,2019-02-27,27-079,MIA,,GSW,W (+1),1,23:15,1,6,.167,1,4,.250,2,4,.500,0,3,3,0,0,0,2,5,5,-2.7,+7
61,23,2019-02-28,27-080,MIA,@,HOU,L (-3),1,32:23,4,7,.571,2,5,.400,1,2,.500,0,2,2,4,1,0,3,1,11,8.3,-14
62,24,2019-03-02,27-082,MIA,,BRK,W (+29),1,27:33,2,10,.200,1,5,.200,2,2,1.000,0,8,8,7,0,0,1,2,7,6.3,+22
63,25,2019-03-04,27-084,MIA,,ATL,W (+1),1,25:29,5,9,.556,1,2,.500,3,4,.750,0,3,3,2,3,1,5,0,14,10.3,-1
64,26,2019-03-06,27-086,MIA,@,CHO,W (+7),1,24:26,2,10,.200,2,5,.400,0,0,,1,4,5,1,2,0,1,1,6,3.0,+3
65,27,2019-03-08,27-088,MIA,,CLE,W (+16),1,17:22,1,3,.333,1,2,.500,0,0,,0,1,1,2,0,0,1,3,3,0.8,+5
66,28,2019-03-10,27-090,MIA,,TOR,L (-21),1,24:58,6,10,.600,3,6,.500,0,2,.000,0,3,3,3,0,0,2,1,15,10.2,-19
67,29,2019-03-13,27-093,MIA,,DET,W (+34),1,27:38,5,12,.417,4,8,.500,0,2,.000,0,4,4,3,2,1,1,0,14,11.8,+25
68,30,2019-03-15,27-095,MIA,,MIL,L (-15),1,23:35,4,10,.400,2,5,.400,0,0,,1,1,2,2,1,0,2,2,10,5.2,0
69,31,2019-03-17,27-097,MIA,,CHO,W (+18),1,22:17,4,10,.400,4,8,.500,0,0,,0,4,4,3,0,0,1,1,12,8.5,+3
70,32,2019-03-18,27-098,MIA,@,OKC,W (+9),1,27:59,3,8,.375,0,4,.000,0,0,,0,4,4,1,1,0,1,3,6,2.3,-9
71,33,2019-03-20,27-100,MIA,@,SAS,W (+5),1,32:30,7,14,.500,4,9,.444,0,2,.000,0,5,5,4,0,0,3,1,18,11.1,+16
72,34,2019-03-22,27-102,MIA,@,MIL,L (-29),1,30:21,3,9,.333,3,6,.500,0,0,,0,1,1,2,1,2,3,1,9,4.6,-12
73,35,2019-03-23,27-103,MIA,@,WAS,W (+5),1,26:53,7,13,.538,4,9,.444,1,1,1.000,1,2,3,3,0,0,0,3,19,14.9,+15
74,36,2019-03-26,27-106,MIA,,ORL,L (-5),1,28:55,10,18,.556,5,11,.455,1,1,1.000,0,1,1,2,1,0,0,4,26,18.5,-11
75,37,2019-03-28,27-108,MIA,,DAL,W (+6),1,33:46,6,17,.353,3,10,.300,2,3,.667,0,2,2,1,0,0,1,4,17,5.8,+6
76,38,2019-03-30,27-110,MIA,@,NYK,W (+8),1,36:45,11,23,.478,6,16,.375,0,0,,0,3,3,6,2,1,2,2,28,21.3,+7
77,39,2019-04-01,27-112,MIA,@,BOS,L (-5),1,37:16,5,14,.357,2,8,.250,2,2,1.000,0,2,2,4,1,0,3,4,14,6.0,-7
78,40,2019-04-03,27-114,MIA,,BOS,L (-10),1,42:18,8,22,.364,5,13,.385,0,0,,0,3,3,5,1,0,1,2,21,12.4,-5
79,41,2019-04-05,27-116,MIA,@,MIN,L (-2),1,33:02,8,17,.471,6,12,.500,0,2,.000,0,0,0,0,0,0,1,4,22,9.9,-15
80,42,2019-04-07,27-118,MIA,@,TOR,L (-8),1,32:40,6,16,.375,5,12,.417,0,0,,0,4,4,2,0,0,1,1,17,9.4,-13
81,43,2019-04-09,27-120,MIA,,PHI,W (+23),0,17:17,3,8,.375,2,4,.500,0,0,,0,1,1,2,0,0,0,2,8,4.5,+18
82,44,2019-04-10,27-121,MIA,@,BRK,L (-19),0,8:34,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,1,0,0,0,0.6,-12
45,1,2020-01-24,28-045,MIA,,LAC,L (-5),0,17:59,5,12,.417,4,9,.444,0,1,.000,0,4,4,1,0,2,2,3,14,7.3,+8
46,2,2020-01-27,28-048,MIA,,ORL,W (+21),0,5:35,1,3,.333,1,2,.500,0,0,,0,2,2,2,0,0,0,0,3,3.3,+1
47,3,2020-01-28,28-049,MIA,,BOS,L (-8),0,18:28,4,11,.364,3,6,.500,0,0,,0,5,5,0,0,0,1,2,11,4.6,+3
55,4,2020-07-30,28-233,LAL,,LAC,W (+2),0,21:07,5,10,.500,1,6,.167,0,0,,0,3,3,2,0,1,0,2,11,8.2,+17
56,5,2020-08-01,28-235,LAL,@,TOR,L (-15),0,21:40,4,11,.364,2,6,.333,2,2,1.000,1,2,3,2,0,1,1,4,12,6.7,+8
57,6,2020-08-03,28-237,LAL,@,UTA,W (+8),0,18:47,2,6,.333,0,2,.000,3,3,1.000,0,0,0,3,2,0,4,3,7,2.5,+11
58,7,2020-08-05,28-239,LAL,,OKC,L (-19),0,25:47,5,13,.385,0,4,.000,4,5,.800,0,2,2,2,1,1,0,1,14,9.8,-9
59,8,2020-08-06,28-240,LAL,@,HOU,L (-16),0,24:55,2,10,.200,0,4,.000,4,4,1.000,0,2,2,0,1,1,2,2,8,1.3,-14
61,9,2020-08-10,28-244,LAL,,DEN,W (+3),0,27:17,5,8,.625,1,2,.500,1,1,1.000,0,0,0,3,0,0,1,2,12,8.7,+5
62,10,2020-08-13,28-247,LAL,,SAC,L (-14),0,25:50,8,15,.533,3,6,.500,0,1,.000,1,2,3,5,0,0,5,2,19,10.3,-1
